Judul,Tahun,Abstract
"Analisis Tingkat Kesiapan Pengguna SAID (Sistem Administrasi Informasi Desa) Kabupaten Bondowoso Menggunakan Framework STOPE (Studi Kasus : Kecamatan Maesan dan Tamanan)
                    ﻿",2019,"Sistem Administrasi Informasi Desa atau SAID merupakan salah satu dari sekian banyak layanan TI yang diterapkan oleh Kabupaten Bondowoso yang dipublikasikan pada tahun 2017. Pengguna SAID merupakan perangkat desa yang termasuk dalam PPID (Petugas Pengelola Informasi Desa). Tujuan dari penerapan SAID adalah untuk mempermudah masyarakat maupun perangkat desa dalam melakukan aktifitas terkait dengan administrasi desa seperti permohonan pembuatan surat menyurat, selain itu desa mampu mengelola secara mandiri data penduduk yang ada pada desa tersebut. Menurut Teo (2011) penerimaan terhadap teknologi didefinisikan sebagai “as a user’s willingness to employ technology for the tasks it is designed to support” yang berarti kesiapan terhadap teknologi merupakan sebuah keinginan atau niat suatu pengguna untuk menggunakan dan mengaopsi teknologi untuk mendukung kegiatan yang dilakukan. Pernyataan ini selaras dengan hasil penelitian yang dilakukan Afifah dkk. (2011) bahwa faktor people merupakan variabel yang paling berpengaruh terhadap penerimaan suatu teknologi. Layanan TI seperti SAID perlu dilakukan suatu pengukuran untuk melihat sejauh mana kesiapan pengguna terhadap layanan ini. Terdapat beberapa metode yang dapat digunakan untuk mengukur tingkat kesiapan pengguna salah satunya dengan menggunakan Framework STOPE. Framework STOPE merupakan pengembangan dari metode Linstone yang meneliti perkembengan teknologi dengan berfokus pada tiga domain utama yaitu Technology, Organization dan People. Bakry yang merupakan penggagas kerangka STOPE menambahkan dua item yaitu Strategy dan Environment sehingga menjadi STOPE (Al-Osaimi, 2007). Framework STOPE terdiri dari 5 domain utama yaitu Strategy, Technology, Organization, People dan Environment."
"Sistem Peramalan Produksi Gula Pada PTPN XI Pabrik Gula (PG) Semboro Jember Menggunakan Metode Autoregressive Integrated Moving Avergare (ARIMA)
                    ﻿",2019,Peramalan produksi gula pada PTPN XI PG Semboro Jember menggunakan metode ARIMA. Perhitungan peramalan dimulai dengan menghitung data produksi 6 tahun sebelumnya. Data produksi gula yang digunakan adalah data 12 tahun yang lalu. Pada penelitian ini peramalan dilakukan dalam interval tahunan menggunakan metode ARIMA untuk menghitung nilai peramalan produksi untuk tahun berikutnya. Metode ARIMA mampu melakukan perhitungan peramalan produksi untuk tahun berikutnya dengan baik.
"Analisis Kualitas Marker Menggunakan Metode Scale Invariant Features Transform (SIFT) dalam Implementasi Augmented Reality pada Aplikasi Mobile Grafis Hidroponik
                    ﻿",2019,"Indonesia merupakan negara agraris dimana sebagian besar penduduknya
bermata pencaharian sebagai petani. Salah satu masalah saat ini yang sangat krusial
yaitu sempitnya lahan usaha tani di Indonesia. Perbandingan luas penggunaan lahan
pertanian di Indonesia pada tahun 2015 sebesar 37,4 juta hektar namun pada tahun
2016 mengalami penurunan yaitu menjadi 36,7 juta hektar. Solusi dalam penurunan
luas lahan tersebut adalah dengan cara memanfaatkan lahan sempit. Salah satu cara
yang tepat dalam memanfaatkan lahan sempit tetapi tetap mengembangkan hasil
pertanian yaitu dengan cara hidroponik. Hidroponik merupakan cara budidaya
tanaman tanpa menggunakan tanah tetapi menggunakan media inert seperti pasir,
peat, dan serbuk gergaji dengan memberikan larutan hara yang mengandung semua
unsur esensial yang dibutuhkan oleh tanaman.
Kurangnya Pemahaman masyarakat khususnya pemula hidroponik tentang
rincian biaya yang dibutuhkan, cara penanaman, dan bahan yang digunakan dalam
membuat model hidroponik sehingga diperlukannya suatu aplikasi grafis yang
dapat membantu masyarakat dalam memahami hal-hal tersebut. Aplikasi grafis
hidroponik tersebut mengimplementasikan augmented reality agar mempermudah
masyarakat dalam memahami hidroponik. Aplikasi tersebut menggunakan metode
Scale Invariant Features Tranform (SIFT) untuk mengubah data gambar menjadi
koordinat sengan skala yang berbeda pada keypoint. Hasil yang didapatkan pada
penelitian ini yaitu semakin tinggi nilai keypoint dan histogram yang luas maka
semakin baik kualitas marker serta nilai octave dan scale yang dimasukan dalam
metode Scale Invariant Feature Transform (SIFT) menentukan banyaknya jumlah
keypoint."
"Implementasi metode Fuzzy – Analytic Hierarchy Process (F – AHP ) dan Profile Matching pada sistem penunjang keputusan pemilihan kualitas ikan koi (Studi Kasus UD. Cassablanca Koi)
                    ﻿",2019,"Sistem penunjang keputusan pemilihan kualitas ikan koi menggunakan metode fuzzy analytic hierarchy process (F-AHP) dilakukan dengan cara menentukan bobot dari masing-masing kriteria dan subkriteria. Kriteria pada penelitian ini berupa perbandingan komposisi warna, kontras warna, postur badan, nilai cacat, mental. Hasil penilaian yang dilakukan sistem akan dinormalisasi dengan hasil akhir yaitu nilai pembobotan kualitas dari ikan koi."
"Penerapan Metode ABC-Ven Pada Sistem Informasi Manajemen Obat di Poliklinik Politeknik Negeri Jember
                    ﻿",2019,"Metode ABC-VEN diterapkan pada sistem dengan cara melakukan melakukan analisis berdasarkan metode ABC dan metode VEN secara bersamaan. Analisis menggunakan metode ABC dilakukan dengan menghitung nilai pakai dan nilai investasi dari suatu obat pada periode tertentu dengan menghitung variabel yang didapatkan yang berupa jumlah pemakaian dan harga obat per item dari data-data transaksi yang lalu digunakan untuk menghitung nilai kritis yang dijadikan acuan untuk menentukan kelas dari suatu obat. Pengelompokkan obat dengan menggunakan metode VEN dilakukan oleh apoteker. Metode ABC-VEN baru bisa dilakukan bila pengelompokkan obat dengan menggunakan metode ABC dan VEN telah selesai dilakukan. Berdasarkan pengujian yang telah dilakukan, hasil dari perhitungan menggunakan sistem sama dengan hasil dari perhitungan manual dan dapat disimpulkan bahwa penerapan metode pada sistem telah berhasil."
"Sistem Informasi Distribusi Cabai Dengan Metode Distribution Requirements Planing (DRP) di Provinsi Jawa Timur
                    ﻿",2019,"Pada tahun 2016 berdasarkan data Badan Pusat Statistika Jawa Timur produksi cabai besar dan cabai rawit hampir tembus 2 juta ton dengan rincian cabai rawit 1 juta ton dan cabai besar 939 ribu ton. Hasil produksi cabai tersebut tersebar di Pulau Jawa, dimana provinsi Jawa Timur menjadi sentra penghasil cabai terbesar di Indonesia. Meskipun kontribusi jumlah produksi yang tinggi, cabai masih menjadi penyebab inflasi di Jawa Timur. Faktor inflasi disebabkan oleh beberapa faktor, salah satunya jumlah produksi cabai melimpah namun terjadi pada bulan tertentu atau penyebab lainnya adalah pendistribusian yang tidak merata.
Mengatasi permasalahan tersebut diperlukan model optimasi distribusi cabai dengan menggunakan beberapa parameter model yakni pendataan jumlah produksi, perencanaan distribusi, dan pendataan nilai akurasi permintaan cabai di wilayah Provinsi Jawa Timur.
Salah satu alternatif teknologi yang digunakan adalah dengan menerapkan sistem informasi menggunakan metode Distribution Requirements Planning (DRP). Metode DRP adalah sebuah metode yang digunakan untuk menentukan permintaan dan memenuhi persediaan pada pusat-pusat distribusi, menggabungkan permintaan historis sebagai input untuk sistem. Sistem akan mampu mengelola data cabai, mengelola jumlah permintaan, jumlah produksi, dan yang utama menghitung pola optimal dalam pendistribusian cabai besar. Sistem informasi yang dibangun diharapkan bisa membantu pemerintah dalam mengatur jumlah produksi dan melakukan pendistribusian cabai di Jawa Timur dan petani dalam memantau perkembangan produktivitas dan permintaan cabai di Jawa Timur."
"Analisis Kualitas Layanan Perpustakaan Dalam Penerapan Senayan Library Management System (Slims) Menggunakan Metode Servqual (Studi Kasus: UPT Perpustakaan Universitas Jember
                    ﻿",2019,"Senayan Library Management System (SLiMS) merupakan layanan yang berbasis TI yang digunakan oleh UPT Perpustakaan Universitas Jember (UNEJ) sebagai sistem informasi pendukung layanan manajemen perpustakaan di UPT Perpustakaan UNEJ. SLiMS merupakan sistem informasi berbasis website yang dapat diakses melalui laman http://library.unej.ac.id. SLiMS masih terus dikembangkan untuk mendukung layanan di UPT Perpustakaan UNEJ, mengingat perpustakaan dalam suatu universitas merupakan kebutuhan penting yang dapat menunjang mutu suatu universitas tersebut. Perpustakaan juga merupakan sarana dan prasarana sebagai sumber literatur yang mendukung kegiatan perkuliahan sehingga diharapkan tujuan belajar mahasiswa akan tercapai.
Melihat peran penting perpustkaan bagi suatu universitas, maka perlu dilakukan analisis kualitas layanan yang diberikan. Penelitian ini melakukan analisis menggunakan metode servqual . Penelitian ini berfokus pada kualitas layanan dari persepsi dan harapan mahasiswa sesuai dengan pengalamannya menggunakan layanan SLiMS di UPT Perputakaan UNEJ. Hasil Penelitian ini diharapkan dapat menjadi evaluasi oleh UPT Perpustakaan UNEJ selaku penyedia layanan dalam mengembangkan layananya di masa yang akan datang."
"Penerapan Algoritma C4.5 Pada Analisis Kerusakan Aset Gedung Pendidikan Di Kabupaten Jember
                    ﻿",2018,"Gedung dan bangunan pendidikan adalah salah satu aset yang dimiliki oleh
pemerintah yang digunakan dalam rangka pelaksanaan kegiatan pendidikan.
Gedung pendidikan tercatat sebagai aset bangunan terbanyak yang dimiliki
Kabupaten Jember pada tahun 2018 dengan jumlah 7.797 gedung bangunan. Total
bangunan yang dinyatakan rusak atau membutuhkan rehabilitasi sebanyak 2.057
gedung dan 73% dari total kerusakan tersebut terjadi sebelum masa manfaatnya
habis (BPKA Jember, 2018) . Kondisi gedung dan bangunan akan mempengaruhi
kenyamanan para pihak yang menggunakan gendung dan bengunan tersebut.
Gedung dengan kondisi tidak layak dapat mengganggu kinerja serta keselamatan
penggunananya sehingga untuk mendapatkan kualitas gedung dan bangunan yang
baik diperlukan alokasi anggaran yang memadai.
Anggaran rehabilitasi Gedung Pendidikan bersumber dari dana Bantuan
Operasional Sekolah (BOS) yang merupakan bagian dari pengalokasian Dana
Alokasi Khusus (DAK) Nonfisik. Kebijakan Kementrian Keuangan mengenai
penyaluran DAK Nonfisik pada tahun 2019 menyebutkan bahwa dana BOS akan
disalurkan secara bertahap. Sekolah pada daerah tidak terpencil akan menerima
saluran anggaran setiap triwulan sedangkan sekolah terpencil akan disalurkan setiap
semester. Kebijakan tersebut membuat proses rehabilitasi gedung rusak menjadi
terhambat akibat anggaran yang kunjung disalurkan. Hal ini mengindikasikan perlu
dilakukan upaya untuk memprediksi kerusakan gedung sehingga Satuan Kerja
Perangkat Daerah (SKPD) dapat merencanakan anggaran rehabilitasi secara
optimal dan tepat sasaran dengan mengantisipasi terjadinya kerusakan dijauh hari."
"Analisis Kesuksesan Sistem E-Learning di Sekolah Menengah Atas Kabupaten Jember (Studi Kasus: SMA Negeri 2 Jember)”
                    ﻿",2019,"Salah satu layanan TI yang diimplementasikan oleh SMA Negeri 2 Jember yaitu sistem e-learning SMAN 2 Jember yang digunakan oleh guru dan siswa SMAN 2 Jember dalam proses pembelajaran di sekolah. E-Learning SMAN 2 Jember memiliki berbagai kegunaan dari tiap sisi pengguna yaitu guru dan siswa, dan diharapkan dapat memudahkan proses pembelajaran. Dalam penerapannya, penggunaan sistem masih dianggap pasif seperti banyak sekali guru yang belum menggunakan sistem dalam proses pembelajaran sehingga mengakibatkan siswa menjadi sangat jarang mengaksesnya.
Penelitian ini bertujuan untuk menganalisa kesuksesan sistem e-learning di Sekolah Menengah Atas dengan mengambil studi kasus SMAN 2 Jember. Metode yang digunakan dalam penelitian ini merupakan ISSM (Information System Success Model) 2003 oleh McLean dan DeLone yang telah diperbarui. Kelebihan dari metode ISSM 2003 ini adalah adalah metode ini sangat cocok digunakan untuk mengukur kesuksesan sistem karena variabel dan indikator sesuai dengan permasalahan yang terdapat pada e-learning SMAN 2 Jember. Diharapkan hasil akhir dari metode ini dapat memaksimalkan hasil yang didapatkan berupa hipotesis yang berpengaruh positif dan juga signifikan terhadap kesuksesan e-learning SMAN 2 Jember. Jumlah sampel penelitian yang digunakan sebanyak 200 responden yaitu beberapa guru dan siswa kelas 10 SMA Negeri 2 Jember karena dianggap sering mengakses sistem dalam proses pembelajaran di sekolah. Data tersebut dianalisis menggunakan tools analisis GeSCA. Berdasarkan hasil analisis, dapat diketahui bahwa hipotesis yang memiliki pengaruh positif dan juga signifikan yaitu kualitas informasi (information quality), kualitas layanan (service quality), kepuasan pengguna (use), dan Net Benefits"
"Analisis Sentimen Terhadap Tweet Kaum Homoseksual Indonesia Menggunakan Metode Support Vector Machine
                    ﻿",2019,"Sentimen analis pada Sentimen analis pada Sentimen analis pada Sentimen analis pada Sentimen analis pada Sentimen analis pada Sentimen analis pada Sentimen analis pada Sentimen analis pada Sentimen analis pada Sentimen analis pada Tw itt er merupakan proses merupakan proses merupakan proses merupakan proses merupakan proses merupakan proses merupakan proses merupakan proses memahami, mengekstrak memahami, mengekstrak memahami, mengekstrak memahami, mengekstrak memahami, mengekstrak memahami, mengekstrak memahami, mengekstrak memahami, mengekstrak dan mengolah data tekstual secara otomatis untuk mendapat informasi sentimen dan mengolah data tekstual secara otomatis untuk mendapat informasi sentimen dan mengolah data tekstual secara otomatis untuk mendapat informasi sentimen dan mengolah data tekstual secara otomatis untuk mendapat informasi sentimen dan mengolah data tekstual secara otomatis untuk mendapat informasi sentimen dan mengolah data tekstual secara otomatis untuk mendapat informasi sentimen dan mengolah data tekstual secara otomatis untuk mendapat informasi sentimen dan mengolah data tekstual secara otomatis untuk mendapat informasi sentimen dan mengolah data tekstual secara otomatis untuk mendapat informasi sentimen dan mengolah data tekstual secara otomatis untuk mendapat informasi sentimen dan mengolah data tekstual secara otomatis untuk mendapat informasi sentimen dan mengolah data tekstual secara otomatis untuk mendapat informasi sentimen dan mengolah data tekstual secara otomatis untuk mendapat informasi sentimen dan mengolah data tekstual secara otomatis untuk mendapat informasi sentimen dan mengolah data tekstual secara otomatis untuk mendapat informasi sentimen dan mengolah data tekstual secara otomatis untuk mendapat informasi sentimen dan mengolah data tekstual secara otomatis untuk mendapat informasi sentimen dan mengolah data tekstual secara otomatis untuk mendapat informasi sentimen dan mengolah data tekstual secara otomatis untuk mendapat informasi sentimen dan mengolah data tekstual secara otomatis untuk mendapat informasi sentimen dan mengolah data tekstual secara otomatis untuk mendapat informasi sentimen dan mengolah data tekstual secara otomatis untuk mendapat informasi sentimen dan mengolah data tekstual secara otomatis untuk mendapat informasi sentimen dan mengolah data tekstual secara otomatis untuk mendapat informasi sentimen dan mengolah data tekstual secara otomatis untuk mendapat informasi sentimen dan mengolah data tekstual secara otomatis untuk mendapat informasi sentimen dan mengolah data tekstual secara otomatis untuk mendapat informasi sentimen dan mengolah data tekstual secara otomatis untuk mendapat informasi sentimen dan mengolah data tekstual secara otomatis untuk mendapat informasi sentimen yang terkandung dalam ang terkandung dalam ang terkandung dalam ang terkandung dalam ang terkandung dalam ang terkandung dalam ang terkandung dalam ang terkandung dalam ang terkandung dalam ang terkandung dalam tweet tweettweet. Berbagai macam Berbagai macam Berbagai macam Berbagai macam Berbagai macam Berbagai macam Berbagai macam Berbagai macam Berbagai macam Berbagai macam Berbagai macam konten yang terdapat pada tweet konten yang terdapat pada tweet konten yang terdapat pada tweet konten yang terdapat pada tweet konten yang terdapat pada tweet konten yang terdapat pada tweet konten yang terdapat pada tweet konten yang terdapat pada tweet konten yang terdapat pada tweet konten yang terdapat pada tweet konten yang terdapat pada tweet konten yang terdapat pada tweet konten yang terdapat pada tweet konten yang terdapat pada tweet konten yang terdapat pada tweet konten yang terdapat pada tweet memiliki berbagai macam memiliki berbagai macam memiliki berbagai macam memiliki berbagai macam memiliki berbagai macam memiliki berbagai macam memiliki berbagai macam memiliki berbagai macam memiliki berbagai macam memiliki berbagai macam sentiment sentiment sentiment dan dan pengaruh pengaruhpengaruh pengaruh . Pendekatan Pendekatan Pendekatan Pendekatan Pendekatan Pendekatan Te xt miningxt miningxt miningxt mining menjadi alternatif terbaik untuk mengartikan makna dari setiap menjadi alternatif terbaik untuk mengartikan makna dari setiap menjadi alternatif terbaik untuk mengartikan makna dari setiap menjadi alternatif terbaik untuk mengartikan makna dari setiap menjadi alternatif terbaik untuk mengartikan makna dari setiap menjadi alternatif terbaik untuk mengartikan makna dari setiap menjadi alternatif terbaik untuk mengartikan makna dari setiap menjadi alternatif terbaik untuk mengartikan makna dari setiap menjadi alternatif terbaik untuk mengartikan makna dari setiap menjadi alternatif terbaik untuk mengartikan makna dari setiap menjadi alternatif terbaik untuk mengartikan makna dari setiap menjadi alternatif terbaik untuk mengartikan makna dari setiap menjadi alternatif terbaik untuk mengartikan makna dari setiap menjadi alternatif terbaik untuk mengartikan makna dari setiap menjadi alternatif terbaik untuk mengartikan makna dari setiap menjadi alternatif terbaik untuk mengartikan makna dari setiap menjadi alternatif terbaik untuk mengartikan makna dari setiap menjadi alternatif terbaik untuk mengartikan makna dari setiap menjadi alternatif terbaik untuk mengartikan makna dari setiap menjadi alternatif terbaik untuk mengartikan makna dari setiap menjadi alternatif terbaik untuk mengartikan makna dari setiap menjadi alternatif terbaik untuk mengartikan makna dari setiap menjadi alternatif terbaik untuk mengartikan makna dari setiap menjadi alternatif terbaik untuk mengartikan makna dari setiap menjadi alternatif terbaik untuk mengartikan makna dari setiap menjadi alternatif terbaik untuk mengartikan makna dari setiap tweet tweettweet. Pengklasifikasian konten Positif dan NegPengklasifikasian konten Positif dan NegPengklasifikasian konten Positif dan Neg Pengklasifikasian konten Positif dan Neg Pengklasifikasian konten Positif dan Neg Pengklasifikasian konten Positif dan NegPengklasifikasian konten Positif dan Neg Pengklasifikasian konten Positif dan Neg Pengklasifikasian konten Positif dan Neg Pengklasifikasian konten Positif dan Neg Pengklasifikasian konten Positif dan Neg Pengklasifikasian konten Positif dan Negatif menjadi sangat penting bagi atif menjadi sangat penting bagi atif menjadi sangat penting bagi atif menjadi sangat penting bagi atif menjadi sangat penting bagi atif menjadi sangat penting bagi atif menjadi sangat penting bagi atif menjadi sangat penting bagi atif menjadi sangat penting bagi atif menjadi sangat penting bagi atif menjadi sangat penting bagi atif menjadi sangat penting bagi atif menjadi sangat penting bagi pengguna pengguna pengguna twitter twitter untuk menilai seberapa untuk menilai seberapa untuk menilai seberapa untuk menilai seberapa untuk menilai seberapa untuk menilai seberapa untuk menilai seberapa sentimen sentimen sentimen sentimen dari dari sebuah tweet sebuah tweet sebuah tweet sebuah tweetsebuah tweetsebuah tweet."
"Evaluasi Kualitas Layanan Sistem Informasi Terpadu (Sister) Universitas Jember Menggunakan Kombinasi Metode  Servqual Dan Webqual Berdasarkan Perspektif Mahasiswa
                    ﻿",2018,"Sistem Informasi Terpadu (SISTER) Universitas Jember merupakan layanan berbasis TI yang terintegrasi dalam satu portal website yang beralamatkan pada http://sister.unej.ac.id. Terdapat berbagai macam pelayanan seperti keuangan, pengaduan, manajemen anggaran, e-learning, kearsipan dinamis, forum blogger, dan layanan penyimpanan back up/sharing file. Saat ini pengembangan SISTER terus dilakukan untuk dapat lebih banyak memudahkan berbagai aktivitas akademik di Universitas Jember. Melihat peran yang vital dari SISTER maka perlu dilakukan pengukuran sebagai tolok ukur keberhasilannya. Penelitian ini mencoba melakukan pengukuran kualitas layanan Sistem Informasi Terpadu (SISTER) Universitas Jember berdasarkan persepsi mahasiswa. Pengukuran dilakukan dengan menyusun model konseptual penelitian dari kombinasi metode ServQual dan Webqual. Penelitian ini juga menitikberatkan pada sejauh mana persepsi tentang kualitas layanan SISTER yang dirasakan dan bagaimana pengaruhnya dengan kepuasan pengguna SISTER dalam hal ini mahasiswa universitas Jember. Hasil penelitian ini diharapkan menjadi evaluasi bagi pengelola SISTER untuk meningkatkan kualitas layanan SISTER di masa yang akan datang."
"Sistem Pakar Diagnosis Penyakit Pada Anjing Peliharaan Menggunakan Metode Certainty Factor Berbasis Web
                    ﻿",2018,"Anjing merupakan salah satu jenis hewan yang digemari oleh masyarakat untuk dipelihara. Alasannya karena merawatnya mudah, biaya perawatannya relatif sedikit, dan bisa memberi banyak manfaat kepada pemiliknya. Sama halnya dengan makhluk hidup yang lain, anjing juga dapat terserang penyakit dan sudah menjadi tanggung jawab bagi pemiliknya untuk mencari cara untuk menyembuhkan peliharaannya. Hal yang harus dilakukan pemilik anjing peliharaan adalah mencari informasi atau menemui seorang pakar untuk berkonsultasi mengenai penyakit yang menyerang peliharaannya. Terkadang muncul masalah di mana pemilik anjing peliharaan kesulitan mendapatkan informasi maupun bertemu dengan pakar sehingga kondisi kesehatan anjing memburuk dan terlambat untuk disembuhkan. Pengembangan sistem pakar diagnosis penyakit pada anjing peliharaan mampu menjawab masalah  yang ditemukan karena  sistem mampu menganalisis faktafakta yang tersedia dan membantu pemilik anjing peliharaan dalam mengambil keputusan mengenai kondisi kesehatan peliharaannya. Sistem bekerja menyerupai seorang pakar dalam menganalisis fakta dan mengambil keputusan untuk memecahkan suatu masalah. Sistem dapat memberikan hasil diagnosis penyakit pada anjing peliharaan berdasarkan analisis pada gejala dalam menyebabkan suatu penyakit, sehingga pemilik anjing peliharaan tidak perlu mengalami kesulitan untuk mencari informasi maupun berkonsultasi dengan pakar. Pengembangan sistem pakar akan menerapkan metode certainty factor untuk meningkatkan akurasi hasil diagnosis penyakit, karena metode certainty factor menggunakan nilai dari tingkat keyakinan seorang pakar dalam menganalisis gejala-gejala yang menimbulkan suatu penyakit sebagai aturan dalam sistem. Sistem pakar yang menerapkan metode certainty factor sangat mudah untuk digunakan, karena pemilik anjing peliharaan hanya perlu memilih pilihan gejala penyakit yang disediakan oleh sistem sesuai  dengan pengamatan mereka terhadap kondisi kesehatan anjing peliharaan mereka. Setelah itu, metode certainty factor hanya perlu menghitungnya berdasarkan aturan-aturan yang sudah dibuat sebelumnya. Akhir dari proses perhitungan akan diperoleh tingkat kepastian dari penyakit-penyakit yang mempunyai kemungkinan  untuk mengganggu kondisi kesehatan anjing peliharaan. Setelah itu, tingkat kepastian dari kemungkinan-kemungkinan tersebut akan diurutkan dan penyakit yang memilik kemungkinan terbesar akan menjadi hasil diagnosis dari sistem. Sistem pakar juga akan dikembangkan dengan basis web, sehingga pemilik anjing peliharaan lebih mudah untuk mengakses sistem kapan saja apabila diperlukan, dengan begitu pemilik anjing peliharaan dapat mengetahui penyakit yang menyerang anjing peliharaan mereka tanpa perlu menemui seorang pakar terlebih dahulu."
"Analisis Pengaruh Sumber Daya Manusia Dan Infrastruktur TI Terhadap Performa Perusahaan (Studi kasus : Bank BRI KCU Jember)
                    ﻿",2019,"Salah satu bank terbesar yang ada Indonesia adalah bank BRI. Yang dijadikan objek dalam penelitian ini adalah bank BRI KCU Jember. Berdasarkan penelitian bank BCA merupakan salah satu perusahaan di Indonesia yang berhasil dalam melakukan investasi TI. Namun, dalam penerapan investasi TI – nya apakah bank BRI KCU Jember telah memanfaatkan dengan baik atau tidak.
Penelitian ini bertujuan untuk menganalisa pengaruh sumber daya manusia dan infrastruktur TI terhadap performa perusahaan. Metode yang digunakan adalah metode RBV dan IT Alignment dimana terdapat dua variabel bebas yaitu sumber daya manusia dan infrastruktur TI serta tiga variabel terikat yaitu kapabilitas berbasis TI, dukungan TI terhadap kompetensi bisnis, serta performa perusahaan. Penelitian ini bertujuan untuk melihat ada atau tidaknya suatu IT Productivity Paradox pada bank BRI KCU Jember. Diharapkan hasil dari penelitian ini dapat mengetahui variabel yang berpengaruh signifikan terhadap performa perusahaan khususnya objek penelitian yaitu Bank BRI KCU Jember.
Jumlah sampel yang digunakan sebanyak 104 responden yang merupakan karyawan aktif dari bank BRI KCU Jember. Hasil data dianalisis menggunakan tools GSCA. Berdasarkan hasil analisis, diketahui bahwa variabel yang berpengaruh signifikan yaitu sumber daya manusia, kapabilitas berbasis TI, dan dukungan TI terhadap kompetensi bisnis. Dimana ditemukan bahwa infrastruktur TI masih belum berpengaruh signifikan terhadap pembentukan performa perusahaan."
"Penerapan Sistem Enkripsi AES-128 Pada Aplikasi SMS Berbasis Android
                    ﻿",2019,Keamanan dan kerahasiaan suatu informasi yang terdapat pada layanan pesan singkat di telepon genggam kurang begitu diperhatikan oleh para pengguna telepon genggam itu sendiri. Guna mengatasi permasalahan tersebut digunakanlah metode kriptografi untuk mengamankan informasi yang tersebut. Terdapat banyak algoritma kriptografi yang bisa digunakan salah satunya adalah algoritma Advances Encryption Standard (AES). Pada proyek ini menggunakan algoritma AES-128 yang diimplementasikan pada sebuah aplikasi layanan pesan singkat berbasis Android. Algoritma AES-128 ini diimplementasikan di dalam isi pesan yang dikirimkan oleh pengirim pesan singkat tersebut. Dalam penggunaanya cipher key hanya diketahui oleh pengirim dan penerima. Algoritma AES-128 merubah plain text menjadi kode-kode dalam bentuk hexadecimal melalui operasi perhitungan XOR dengan menggunakan konversi plain text dan cipher key melalui sepuluh perputaran. Sehingga membuat isi pesan menjadi lebih aman dari tindakan pembajakan.
"Analisis Penerapan Strategi E-Marketing Menggunakan Judy Strauss Framework Pada KP-Ri Universitas Jember
                    ﻿",2019,"E-marketing adalah penggunaan teknologi informasi untuk kegiatan pemasaran, dan proses untuk menciptakan komunikasi, mengirim dan bertukar penawaran yang memiliki nilai bagi pelanggan, klien, mitra dan masyarakat pada umumnya (Strauss & Frost, 2014). E-marketing menggambarkan usaha – usaha perusahaan untuk menginformasikan, berkomunikasi, mempromosikan dan memasarkan produk dan jasa melalui internet (Kotler & Amstrong, 2004). Pemilihan strategi e-marketing yang cocok dengan perusahaan serta mengetahui detail cara dan dampak penerapannya dapat meningkatkan penjualan pada perusahaan (Hidayah, 2018).
KP-RI Universitas Jember merupakan salah satu koperasi berbadan hukum yang terdiri dari 3 unit usaha. Unit usaha KP-RI Universitas Jember antara lain Unit Simpan Pinjam, Unit Jasa dan Unit Toko. Untuk Unit Toko menyediakan berbagai produk kebutuhan sehari – hari, baik produk konsumsi berupa beras, gula, minyak, mie instant, serta produk non – konsumsi seperti pakaian, sabun mandi, sabun cuci, kosmetik, dan lain – lain. Unit tersebut bukan hanya melayani kebutuhan para pengajar dan mahasiswa Universitas Jember, tetapi juga masyarakat pada umumnya. KP-RI Universitas Jember mempunyai website yang beralamatkan di www.kpriunej.com. Website tersebut berisi tentang profile dari KPRI dan juga info produk – produk yang disediakan oleh KPRI. Akan tetapi, website tersebut tidak dimanfaatkan secara optimal. Seharusnya website tersebut dapat dimanfaatkan oleh Unit toko sebagai sarana e-marketing dengan mengelompokkan tampilan untuk masing – masing unit usaha yang ada di KPRI sehingga dapat membantu masing – masing unit usaha untuk memperkenalkan produknya terutama Unit Toko, tetapi hal tersebut tidak dilakukan. Maka dari itu, website pada KP-RI Universitas Jember
perlu dilakukan analisis agar dapat mengetahui strategi e-marketing yang efisien terutama pada Unit Toko yang pelayanannya adalah untuk anggota dan juga masyarakat umum.
Dalam penelitian ini menggunakan salah satu framework e-marketing yaitu Judy Strauss Framework yang akan diimplementasikan ke dalam proses bisnis KP-RI Universitas. Dilakukan analisis dengan matriks EFE & IFE, matriks I-E dan matriks QSPM. Dari hasil analisis tersebut diperoleh bahwa strategi marketing yang sesuai untuk KP-RI Universitas Jember adalah penetrasi pasar. Strategi ini dapat diwujudkan dalam bentuk mengadakan kegiatan promosi yang rutin, menggunakan e-marketing sebagai media pemasaran, penggunaan website yang terintegrasi dengan social media dan menggunakan website untuk proses operasional."
